Name in documentation	Category	Qty	Full Name	Notes	Supplier 1	Part No	Link
150mm mini hacksaw	tool	1	150mm mini hacksaw		RS	281-9162	https://uk.rs-online.com/web/p/hand-saws/2819162?gb=a
3d printer	machine	1	3d printer		RS	ENDER-3 S1 PRO	https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
clear plastic sheet	material	1	clear plastic sheet		RS	334-6472	https://uk.rs-online.com/web/p/plastic-sheets/3346472?gb=s
Laser cutter	machine	1	Laser cutter		RS	ENDER-3 S1 PRO	https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
Liquid Adhesive	part	1	Liquid Adhesive		RS	132-605	https://uk.rs-online.com/web/p/adhesives/0132605?gb=a
M3 hex Nut	part	14	M3 Hex Nut		RS	441-9098	https://uk.rs-online.com/web/p/hex-nuts/4419098?gb=s
M3 tap set	tool	1	M3 tap set		RS	215-552	https://uk.rs-online.com/web/p/threading-taps/0215552?gb=s
M3x8 Pozi pan machine screw	part	38	M3X12mm Pozipan screws		RS	560-603	https://uk.rs-online.com/web/p/machine-screws/0560603?gb=s
maker beam XL	material	1	maker beam XL		technobotsonline	4447-087	https://www.technobotsonline.com/makerbeamxl-1000mm-long-black-anodised-beam-threaded.html
PLA filament	material	500 g	PLA filament		RS	832-0214	https://uk.rs-online.com/web/p/3d-printing-materials/8320214?gb=s
Pozidriv PZ1 screw driver	tool	1	Pozidriv PZ1 screw driver		RS	544-702	https://uk.rs-online.com/web/p/screwdrivers/0544702?gb=a
tap wrench	tool	1	tap wrench		RS	230-0112	https://uk.rs-online.com/web/p/tap-die-wrenches/2300112?gb=a
